Caida libre,,,,,,,Pendulo,,,,,,# Ligas1,er1,# Ligas2,er2,,,ln(er1),l,n/n+5,
,Altura rebote,,,,,,Velocidades [m/s],,,,,,5,"0,726",5,"0,641",,"0,5149487614","-0,3205937208","1,029897523","0,5","0,5149487614"
# Ligas,Repe 1,Repe 2,Repe 2,promedio,er,# Ligas,m pendulo inicial,pelota,m pendulo final,er,,,10,"0,719",10,"0,755",,"0,5674896191","-0,3301786789","0,8512344287","0,6666666667","0,5674896191"
5,53,54,51,"52,66666667","0,7257180352",5,"1,56","2,54","1,54","0,641025641",,,15,"0,755",15,"0,816",,"0,6235431197","-0,2810594591","0,8313908263","0,75","0,6235431197"
10,51,52,52,"51,66666667","0,7187952884",10,"1,51","2,64","1,5","0,7549668874",,,20,"0,792",20,"0,720",,"0,7639604808","-0,2336702559","0,954950601","0,8","0,7639604808"
15,57,56,58,57,"0,7549834435",15,"1,52","2,76","1,52","0,8157894737",,,25,"0,800",25,"0,787",,"0,7948317965","-0,2231435513","0,9537981558","0,8333333333","0,7948317965"
20,62,63,63,"62,66666667","0,7916228058",20,"1,57","2,69","1,56","0,7197452229",,,30,"0,808",30,"0,815",,"0,7964254142","-0,2128339077","0,9291629833","0,8571428571","0,7964254142"
25,63,64,65,64,"0,8",25,"1,55","2,74","1,52","0,7870967742",,,35,"0,821",35,"0,813",,"0,7785645853","-0,1977573886","0,8897880975","0,875","0,7785645853"
30,65,64,67,"65,33333333","0,8082903769",30,"1,57","2,81","1,53","0,8152866242",,,40,"0,839",40,"0,843",,"0,8297340676","-0,1759621706","0,933450826","0,8888888889","0,8297340676"
35,66,68,68,"67,33333333","0,8205689083",35,"1,55","2,8","1,54","0,8129032258",,,45,"0,849",45,"0,822",,"0,8873455105","-0,1642520335","0,9859394561","0,9","0,8873455105"
40,70,71,70,"70,33333333","0,8386497084",40,"1,53","2,82","1,53","0,8431372549",,,50,"0,850",50,"0,851",,"0,8833399822","-0,1619425606","0,9716739804","0,9090909091","0,8833399822"
45,72,71,73,72,"0,8485281374",45,"1,57","2,85","1,56","0,821656051",,,55,"0,854",55,"0,768",,"0,9166666667","-0,1573553724",1,"0,9166666667","0,9166666667"
50,72,73,72,"72,33333333","0,8504900548",50,"1,54","2,83","1,52","0,8506493506",,,60,"0,854",60,"0,801",,"0,9365007282","-0,1573553724","1,014542456","0,9230769231","0,9365007282"
55,72,74,73,73,"0,8544003745",55,"1,55","2,71","1,52","0,7677419355",,,65,"0,852",65,"0,861",,0,"-0,1596437059",0,"0,9285714286",0
60,71,75,73,73,"0,8544003745",60,"1,56","2,8","1,55","0,8012820513",,,70,"0,856",100,"0,795",,,,,,
65,72,73,73,"72,66666667","0,8524474568",65,"1,51","2,81","1,51","0,8609271523",,,75,"0,858",150,"0,778",,,,,,
70,73,73,74,"73,33333333","0,8563488386",100,"1,56","2,78","1,54","0,7948717949",,,80,"0,854",200,"0,747",,,,,,
